ADAMS COUNTY - 01,400 N MAIN ST,"FRIENDSHIP, WI  53934",(608) 339-4200,cphillippi@co.adams.wi.us
JEFFERSON COUNTY - 28,COURTHOUSE 320 S MAIN STREET ROOM 109,"JEFFERSON, WI  53549",(920) 674-7144,barbf@jeffersoncountywi.gov
JUNEAU COUNTY - 29,220 E STATE ST ROOM 112,"MAUSTON, WI  53948",(608) 847-9302,kkobylsk@co.juneau.wi.us
KENOSHA COUNTY - 30,1010 56TH STREET,"KENOSHA, WI  53140",(262) 653-2552,mkrebs@co.kenosha.wi.us
KEWAUNEE COUNTY - 31,810 LINCOLN STREET,"KEWAUNEE, WI  54216",(920) 388-7133,teskel@kewauneeco.org
LA CROSSE COUNTY - 32,400 N 4TH STREET ROOM 1210,"LA CROSSE, WI  54601",(608) 785-9622,dankmeyer.ginny@co.la-crosse.wi.us
LAFAYETTE COUNTY - 33,626 MAIN ST,"DARLINGTON, WI  53530",(608) 776-4850,lbawden@lafayettecountywi.org
LANGLADE COUNTY - 34,800 CLERMONT ST ROOM 202,"ANTIGO, WI  54409",(715) 627-6200,kjacob@co.langlade.wi.us
LINCOLN COUNTY - 35,801 N SALES ST SUITE 201,"MERRILL, WI  54452",(715) 539-1019,spudelko@co.lincoln.wi.us
MANITOWOC COUNTY - 36,1010 S 8TH ST,"MANITOWOC, WI  54220",(920) 683-4004,jamieaulik@co.manitowoc.wi.us
MARATHON COUNTY - 37,500 FOREST STREET COURTHOUSE,"WAUSAU, WI  54403",(715) 261-1500,nan.kottke@co.marathon.wi.us
MARINETTE COUNTY - 38,1926 HALL AVE,"MARINETTE, WI  54143-1717",(715) 732-7406,mcclerk@marinettecounty.com
MARQUETTE COUNTY - 39,77 W PARK ST,"MONTELLO, WI  53949",(608) 297-3016,dseddon@co.marquette.wi.us
MENOMINEE COUNTY - 40,W3269 COURTHOUSE LANE,"KESHENA, WI  54135",(715) 799-3311,ruthwa@co.menominee.wi.us
MILWAUKEE COUNTY - 41,901 N 9TH STREET ROOM G-3,"MILWAUKEE, WI  53233",(414) 278-4061,lweiner@milwcnty.com
MONROE COUNTY - 42,202 SOUTH K ST ROOM 1,"SPARTA, WI  54656",(608) 269-8705,mcclerk@co.monroe.wi.us
OCONTO COUNTY - 43,301 WASHINGTON ST,"OCONTO, WI  54153",(920) 834-6806,kim.pytleski@co.oconto.wi.us
ONEIDA COUNTY - 44,1 S ONEIDA AVE,"RHINELANDER, WI  54501",(715) 369-6143,mbartelt@co.oneida.wi.us
OUTAGAMIE COUNTY - 45,410 S WALNUT ST,"APPLETON, WI  54911",(920) 832-5077,christnc@co.outagamie.wi.us
OZAUKEE COUNTY - 46,121 W MAIN ST,"PORT WASHINGTON, WI  53074",(262) 284-8110,lhenning@co.ozaukee.wi.us
PEPIN COUNTY - 47,740 7TH AVE W,"DURAND, WI  54736",(715) 672-8857,countyclerk@co.pepin.wi.us
PIERCE COUNTY - 48,414 W MAIN STREET,"ELLSWORTH, WI  54011",(715) 273-3531,jamie.feuerhelm@co.pierce.wi.us
POLK COUNTY - 49,100 POLK COUNTY PLZ STE 110,"BALSAM LAKE, WI  54810",(715) 485-9226,stephanie.fansler@co.polk.wi.us
PORTAGE COUNTY - 50,1516 CHURCH ST,"STEVENS POINT, WI  54481",(715) 346-1351,simoniss@co.portage.wi.us
PRICE COUNTY - 51,126 CHERRY ST ROOM 106,"PHILLIPS, WI  54555",(715) 339-3325,jean.gottwald@co.price.wi.us
RACINE COUNTY - 52,730 WISCONSIN AVE,"RACINE, WI  53403",(262) 636-3482,wendy.christensen@goracine.org
RICHLAND COUNTY - 53,COURTHOUSE 181 WEST SEMINARY ST,"RICHLAND CENTER, WI  53581",(608) 647-2197,vlasakv@co.richland.wi.us
ROCK COUNTY - 54,51 S MAIN STREET,"JANESVILLE, WI  53545",(608) 757-5660,stottler@co.rock.wi.us
RUSK COUNTY - 55,311 Miner Ave E # C150  COURTHOUSE,"LADYSMITH, WI  54848",(715) 532-2100,dwetzel@ruskcountywi.us
SAUK COUNTY - 57,505 BROADWAY RM 144,"BARABOO, WI  53913",(608) 355-3531,bmielke@co.sauk.wi.us
SAWYER COUNTY - 58,10610 MAIN ST,"HAYWARD, WI  54843",(715) 634-4866,county.clerk@sawyercountygov.org
SHAWANO COUNTY - 59,Courthouse Room 104 311 N. Main St.,"SHAWANO, WI  54166",(715) 526-9150,rosemary.bohm@co.shawano.wi.us
SHEBOYGAN COUNTY - 60,508 NEW YORK AVE,"SHEBOYGAN, WI  53081",(920) 459-3002,glancjmg@co.sheboygan.wi.us
ST. CROIX COUNTY - 56,ST. CROIX COUNTY GOVT CENTER 1101 CARMICHAEL RD,"HUDSON, WI  54016",(715) 386-4607,cindyc@co.saint-croix.wi.us
TAYLOR COUNTY - 61,224 S 2ND ST,"MEDFORD, WI  54451",715-748-1460,bruce.strama@co.taylor.wi.us
TREMPEALEAU COUNTY - 62,36245 MAIN ST,"WHITEHALL, WI  54773",(715) 538-2311,tcclerk@tremplocounty.com
VERNON COUNTY - 63,COURTHOUSE ANX RM 108,"VIROQUA, WI  54665",(608) 637-5380,rhoff@vernoncounty.org
VILAS COUNTY - 64,330 COURT STREET,"EAGLE RIVER, WI  54521",(715) 479-3600,daalle@co.vilas.wi.us
WALWORTH COUNTY - 65,COURTHOUSE SQUARE 100 W WALWORTH ST,"ELKHORN, WI  53121",(262) 741-4241,kbushey@co.walworth.wi.us
WASHBURN COUNTY - 66,10 FOURTH AVE,"SHELL LAKE, WI  54871",(715) 468-4600,lhoeppne@co.washburn.wi.us
WASHINGTON COUNTY - 67,432 E WASHINGTON ST,"WEST BEND, WI  53095-7986",(262) 335-4305,brenda.jaszewski@co.washington.wi.us
WAUKESHA COUNTY - 68,515 W MORELAND BLVD # 120,"WAUKESHA, WI  53188",(262) 548-7010,knickolaus@waukeshacounty.gov
WAUPACA COUNTY - 69,811 HARDING STREET,"WAUPACA, WI  54981",(715) 258-6200,mary.robbins@co.waupaca.wi.us
WAUSHARA COUNTY - 70,209 S ST. MARIE STREET,"WAUTOMA, WI  54982",(920) 787-0442,melanies@co.waushara.wi.us
WINNEBAGO COUNTY - 71,415 JACKSON ST,"OSHKOSH, WI  54901",(920) 236-4888,sertmer@co.winnebago.wi.us
WOOD COUNTY - 72,400 MARKET ST,"WISCONSIN RAPIDS, WI  54495--809",(715) 421-8460,ccepress@co.wood.wi.us
